from.id,to.id,source,target
c1,c6,casualtorture,Victor
c1,c3,casualtorture,Nozinan
c1,c68,casualtorture,jeanluc
c1,c75,casualtorture,nooch
c1,c1,casualtorture,casualtorture
c1,c76,casualtorture,CaskTime
c1,c2,casualtorture,Alexsweden
c1,c34,casualtorture,Misty
c1,c77,casualtorture,Nickh
c1,c67,casualtorture,BlueNote
c2,c6,Alexsweden,Victor
c2,c67,Alexsweden,BlueNote
c2,c24,Alexsweden,paddockjudge
c2,c2,Alexsweden,Alexsweden
c3,c2,Nozinan,Alexsweden
c3,c3,Nozinan,Nozinan
c3,c8,Nozinan,markjedi1
c3,c13,Nozinan,Robert99
c3,c78,Nozinan,Astroke
c4,c3,talexander,Nozinan
c4,c4,talexander,talexander
c4,c29,talexander,maltmate302
c4,c1,talexander,casualtorture
c4,c24,talexander,paddockjudge
c4,c22,talexander,Pete1969
c4,c6,talexander,Victor
c4,c79,talexander,Ol_Jas
c1,c22,casualtorture,Pete1969
c1,c79,casualtorture,Ol_Jas
c1,c13,casualtorture,Robert99
c3,c79,Nozinan,Ol_Jas
c3,c6,Nozinan,Victor
c1,c24,casualtorture,paddockjudge
c4,c77,talexander,Nickh
c4,c2,talexander,Alexsweden
c5,c4,newreverie,talexander
c5,c5,newreverie,newreverie
c5,c3,newreverie,Nozinan
c5,c79,newreverie,Ol_Jas
c6,c76,Victor,CaskTime
c6,c6,Victor,Victor
c6,c3,Victor,Nozinan
c6,c11,Victor,JasonHambrey
c7,c24,jerryclyde,paddockjudge
c7,c6,jerryclyde,Victor
c7,c13,jerryclyde,Robert99
c7,c67,jerryclyde,BlueNote
c7,c7,jerryclyde,jerryclyde
c7,c3,jerryclyde,Nozinan
c7,c1,jerryclyde,casualtorture
c7,c80,jerryclyde,plattvillepeat
c7,c2,jerryclyde,Alexsweden
c4,c76,talexander,CaskTime
c4,c81,talexander,mscottydunc
c5,c6,newreverie,Victor
c5,c78,newreverie,Astroke
c6,c2,Victor,Alexsweden
c6,c13,Victor,Robert99
c6,c79,Victor,Ol_Jas
c6,c5,Victor,newreverie
c6,c78,Victor,Astroke
c8,c79,markjedi1,Ol_Jas
c8,c8,markjedi1,markjedi1
c8,c82,markjedi1,Taco
c8,c2,markjedi1,Alexsweden
c4,c13,talexander,Robert99
c3,c76,Nozinan,CaskTime
c3,c24,Nozinan,paddockjudge
c3,c4,Nozinan,talexander
c5,c24,newreverie,paddockjudge
c5,c2,newreverie,Alexsweden
c5,c81,newreverie,mscottydunc
