id,auth,t_interactions
c1,casualtorture,47.0
c2,Alexsweden,112.0
c3,Nozinan,492.0
c4,talexander,423.0
c5,GentlemanGrimm,13.0
c6,newreverie,29.0
c7,Victor,1138.0
c8,jerryclyde,9.0
c9,markjedi1,176.0
c10,mystycreek,12.0
c11,MuddyFunster,9.0
c12,MaltActivist,201.0
c13,Pierre_W,84.0
c14,Georgy,63.0
c15,JasonHambrey,66.0
c16,Pandemonium,58.0
c17,NAV26,26.0
c18,Robert99,115.0
c19,alderinos,5.0
c20,SquidgyAsh,218.0
c21,sorren,23.0
c22,Nemesis101,25.0
c23,Frost,61.0
c24,cricklewood,15.0
c25,Angelmonster,4.0
c26,JoePass,6.0
c27,Jules,39.0
c28,marino,9.0
c29,Erlend,11.0
c30,PMessinger,8.0
c31,Cunundrum,48.0
c32,Rantavahti,49.0
c33,dramsam,2.0
c34,vrudy6,49.0
c35,Pete1969,35.0
c36,Nock,99.0
c37,BigJoe,21.0
c38,Mikey09,3.0
c39,paddockjudge,254.0
c40,Fiberfar,7.0
c41,hunggar,132.0
c42,McGrain,2.0
c43,jack09,7.0
c44,whiskydallas,5.0
c45,Lifewaterforce,38.0
c46,Benancio,55.0
c47,PeatyZealot,60.0
c48,tjb,41.0
c49,Freedomtoast,5.0
c50,masterj,16.0
c51,BARutledge,5.0
c52,Uisgebetha,9.0
c53,maltmate302,60.0
c54,KMullaney,5.0
c55,Barnbip,5.0
c56,DutchGaelisch,12.0
c57,TheConscience,15.0
c58,arulkl,3.0
c59,thewhiskydoctor,4.0
c60,WhiskyBee,72.0
c61,Rigmorole,300.0
c62,SimeonSanchez,14.0
c63,vanPelt,126.0
c64,Volks,17.0
c65,tastydram,4.0
c66,Magnus,9.0
c67,Misty,17.0
c68,Megawatt,19.0
c69,ljm1975,3.0
c70,AndyC,9.0
c71,BourbonNorth1,1.0
c72,Sancho,2.0
c73,TallBoy,2.0
c74,Anxyous,2.0
c75,Devo,6.0
c76,ozmalt,7.0
c77,conorrob,19.0
c78,Onibubba,30.0
c79,mattberg,40.0
c80,Maltmaniacmate,9.0
c81,AKGcandlefish,9.0
c82,GBrough,32.0
c83,MisterDigger,24.0
c84,JJBriggs,10.0
c85,numen,20.0
c86,Davy,3.0
c87,IanABS94,4.0
c88,T4sho3,4.0
c89,teebone673,23.0
c90,Jonesz,21.0
c91,whiskyjourney,2.0
c92,SMC,9.0
c93,manningsmith,6.0
c94,Chookster,22.0
c95,systemdown,95.0
c96,YakLord,28.0
c97,galg,92.0
c98,BlissInABarrel,43.0
c99,UisgeJon,32.0
c100,bennibarrel,8.0
c101,NilsG,62.0
c102,Lucianandrei,2.0
c103,hydrophil,4.0
c104,voidwp2556,1.0
c105,Tinia,12.0
c106,cheeserandyburg,8.0
c107,GotOak91,24.0
c108,11four,4.0
c109,Wills,108.0
c110,GT2,3.0
c111,dbk,163.0
c112,brett88,7.0
c113,Max,6.0
c114,WhiskyNotes,35.0
c115,Jason0142,9.0
c116,Mountrain,3.0
c117,jdcook,242.0
c118,Matthieu,4.0
c119,zerostar,4.0
c120,GregLogan,52.0
c121,Vinodiuz,7.0
c122,Fulano,6.0
c123,RPS,3.0
c124,shimaaji,1.0
c125,OJK,54.0
c126,Indy,9.0
c127,WTC,13.0
c128,Toastbongo,13.0
c129,maxrecline,1.0
c130,IainVH,18.0
c131,phoenix,4.0
c132,smokeybarrels,11.0
c133,Kutter,1.0
c134,Dellnola,18.0
c135,AboutChoice,113.0
c136,SpicyMcHaggis,2.0
c137,Maude,2.0
c138,wylcx,9.0
c139,michaelschout,37.0
c140,mattatec,9.0
c141,lan2424,3.0
c142,WmRamsey,7.0
c143,joshk,7.0
c144,dmessmer,3.0
c145,Andrea,2.0
c146,Pudge72,117.0
c147,Lars,23.0
c148,rharlow,4.0
c149,Youngupstart,7.0
c150,jfpilon,8.0
c151,markcnewton,5.0
c152,AJ,4.0
c153,RobertH,11.0
c154,ScotchNoob,6.0
c155,shokkas,4.0
c156,I_SPEY,1.0
c157,Alex,1.0
c158,phillyslick,3.0
c159,BonnieMac,5.0
c160,Carl,23.0
c161,Pierre,27.0
c162,jwise,47.0
c163,lucadanna1985,21.0
c164,chrisrbarrett,2.0
c165,CharlieWhisky,1.0
c166,Kalekas,5.0
c167,BlueNote,161.0
c168,whiskyguzzler,4.0
c169,Alanjp,7.0
c170,WaWU,1.0
c171,jmende1,2.0
c172,Newbie,3.0
c173,jeanluc,80.0
c174,Jaz,1.0
c175,Silas,11.0
c176,thewhiskyguy,2.0
