source,target
c1,c7
c1,c3
c1,c173
c1,c203
c1,c1
c1,c204
c1,c2
c1,c67
c1,c205
c1,c167
c2,c7
c2,c206
c2,c167
c2,c39
c2,c2
c3,c2
c3,c3
c3,c9
c3,c18
c3,c207
c4,c3
c4,c4
c4,c53
c4,c1
c4,c39
c4,c35
c4,c7
c4,c208
c1,c35
c1,c208
c1,c18
c3,c208
c3,c209
c3,c7
c5,c205
c5,c5
c5,c7
c5,c3
c5,c2
c1,c39
c4,c210
c4,c205
c4,c2
c6,c4
c6,c6
c6,c3
c6,c208
c7,c204
c7,c7
c7,c3
c7,c15
c7,c11
c5,c211
c5,c208
c8,c39
c8,c7
c8,c18
c8,c167
c8,c8
c8,c3
c8,c1
c8,c212
c8,c2
c4,c204
c4,c213
c6,c209
c6,c7
c6,c207
c5,c204
c5,c1
c7,c2
c7,c209
c7,c18
c7,c208
c7,c6
c7,c207
c5,c11
c4,c209
c7,c211
c7,c13
c9,c208
c9,c9
c9,c214
c9,c2
c4,c18
c3,c50
c3,c204
c3,c39
c3,c4
c6,c39
c6,c2
c6,c213
c1,c50
c4,c173
c4,c167
c4,c11
c7,c1
c7,c36
c7,c63
c7,c161
c10,c7
c10,c10
c10,c173
c10,c161
c10,c1
c11,c2
c11,c43
c11,c208
c11,c11
c11,c215
c12,c3
c12,c36
c12,c12
c12,c39
c12,c7
c12,c173
c13,c167
c13,c13
c13,c2
c13,c161
c13,c7
c12,c167
c12,c2
c12,c13
c12,c4
c12,c208
c14,c208
c14,c3
c14,c2
c14,c14
c14,c1
c14,c7
c14,c173
c1,c14
c1,c10
c3,c167
c10,c39
c7,c216
c7,c10
c3,c217
c3,c12
c3,c216
c2,c208
c2,c17
c12,c35
c7,c12
c3,c213
c3,c218
c3,c173
c14,c39
c14,c213
c13,c3
c13,c17
c13,c219
c12,c210
c9,c3
c14,c220
c14,c221
c14,c218
c14,c207
c14,c216
c14,c35
c15,c7
c15,c15
c15,c3
c15,c208
c16,c167
c16,c16
c16,c39
c16,c2
c16,c208
c14,c167
c2,c214
c2,c3
c14,c214
c1,c214
c16,c7
c16,c3
c16,c214
c4,c222
c14,c223
c12,c1
c12,c18
c12,c53
c17,c2
c17,c7
c17,c17
c17,c18
c18,c17
c18,c167
c18,c18
c18,c3
c18,c208
c7,c224
c3,c53
c7,c21
c7,c214
c7,c167
c7,c215
c13,c16
c13,c21
c3,c225
c19,c208
c19,c19
c19,c7
c19,c3
c7,c53
c15,c4
c15,c6
c15,c225
c15,c39
c12,c220
c12,c17
c4,c207
c12,c226
c12,c23
c11,c35
c11,c53
c11,c220
c11,c7
c14,c217
c14,c17
c14,c227
c3,c214
c2,c23
c4,c217
c4,c146
c7,c23
c7,c220
c20,c7
c20,c20
c20,c23
c21,c7
c21,c21
c21,c12
c21,c46
c21,c3
c22,c2
c22,c208
c7,c228
c7,c22
c7,c17
c4,c6
c7,c39
c7,c213
c7,c218
c4,c23
c4,c228
c7,c4
c4,c17
c23,c7
c23,c3
c23,c23
c23,c146
c23,c35
c23,c208
c23,c17
c23,c218
c4,c90
c4,c229
c16,c23
c24,c2
c24,c24
c24,c39
c24,c226
c24,c3
c3,c16
c3,c24
c16,c18
c16,c67
c25,c227
c25,c25
c25,c7
c25,c3
c25,c43
c13,c227
c13,c208
c7,c67
c7,c230
c7,c16
c16,c53
c2,c26
c2,c27
c2,c18
c2,c14
c24,c167
c24,c90
c24,c208
c24,c53
c24,c18
c4,c24
c24,c4
c26,c3
c26,c220
c26,c7
c26,c2
c26,c26
c26,c27
c26,c218
c26,c208
c26,c53
c26,c6
c4,c220
c4,c12
c4,c43
c9,c67
c9,c53
c27,c3
c27,c7
c27,c228
c27,c27
c27,c63
c7,c27
c7,c90
c3,c231
c28,c213
c28,c3
c28,c4
c28,c7
c28,c167
c28,c21
c28,c39
c28,c232
c28,c53
c28,c12
c28,c28
c28,c56
c28,c173
c28,c215
c28,c146
c28,c2
c12,c63
c12,c6
c13,c12
c29,c2
c29,c29
c29,c3
c29,c167
c4,c214
c7,c46
c4,c37
c16,c12
c16,c13
c4,c233
c4,c15
c30,c30
c30,c53
c30,c13
c30,c214
c4,c31
c4,c234
c23,c31
c4,c68
c31,c31
c31,c214
c31,c167
c31,c17
c31,c3
c31,c46
c31,c35
c31,c39
c31,c228
c31,c2
c31,c7
c32,c2
c32,c3
c32,c7
c32,c32
c32,c213
c33,c3
c33,c53
c33,c33
c33,c13
c33,c208
c33,c235
c34,c213
c34,c34
c34,c23
c34,c236
c21,c2
c35,c2
c35,c35
c35,c46
c35,c12
c35,c7
c35,c214
c22,c22
c22,c46
c22,c7
c22,c3
c22,c214
c22,c27
c18,c7
c18,c39
c18,c36
c36,c208
c36,c36
c36,c7
c36,c37
c36,c237
c36,c53
c37,c3
c37,c208
c37,c37
c37,c23
c37,c7
c37,c21
c38,c12
c38,c7
c38,c38
c38,c208
c39,c3
c39,c46
c39,c39
c39,c7
c39,c6
c40,c31
c40,c40
c40,c7
c41,c208
c41,c7
c41,c36
c41,c13
c41,c12
c41,c31
c41,c41
c42,c208
c42,c42
c42,c41
c42,c3
c42,c31
c41,c23
c12,c41
c12,c31
c13,c41
c13,c31
c31,c208
c35,c37
c35,c18
c35,c39
c35,c208
c35,c3
c35,c238
c20,c220
c20,c239
c20,c208
c20,c45
c7,c35
c43,c3
c43,c43
c43,c7
c43,c240
c44,c39
c44,c44
c44,c7
c44,c37
c44,c3
c4,c237
c4,c46
c12,c37
c12,c46
c9,c35
c9,c7
c41,c53
c45,c208
c45,c45
c45,c3
c45,c31
c7,c241
c46,c3
c46,c46
c46,c7
c46,c36
c46,c39
c45,c39
c45,c214
c45,c2
c45,c56
c45,c237
c37,c46
c37,c39
c37,c214
c46,c214
c40,c208
c40,c2
c7,c232
c7,c41
c7,c242
c7,c146
c13,c243
c47,c3
c47,c47
c47,c208
c47,c237
c48,c3
c48,c7
c48,c214
c48,c208
c48,c48
c41,c3
c41,c39
c41,c244
c49,c27
c49,c49
c49,c167
c20,c213
c20,c146
c20,c53
c20,c4
c20,c3
c20,c173
c20,c12
c20,c245
c18,c23
c12,c246
c41,c247
c41,c242
c41,c147
c41,c243
c41,c70
c41,c237
c41,c146
c32,c12
c32,c36
c32,c214
c4,c242
c50,c7
c50,c50
c50,c248
c50,c3
c50,c51
c50,c2
c50,c214
c7,c249
c7,c37
c7,c250
c7,c55
c7,c43
c41,c213
c41,c233
c41,c27
c41,c34
c51,c3
c51,c147
c51,c51
c51,c213
c51,c208
c51,c242
c34,c7
c34,c2
c34,c3
c34,c251
c41,c218
c4,c48
c18,c27
c18,c41
c52,c218
c52,c52
c52,c7
c4,c34
c34,c53
c34,c41
c15,c18
c15,c207
c4,c252
c32,c253
c32,c208
c32,c96
