brand,sentiment,total_words,words,own_ratio,total_ratio,odds.ratio
Aberfeldy,anger,1546,21.0,0.014221073044602456,0.01805587484422074,-0.3444379965549065
Aberfeldy,anticipation,1546,75.0,0.0491273432449903,0.054584188292094146,-0.15195687633137767
Aberfeldy,disgust,1546,45.0,0.029734970911441498,0.03530989560699559,-0.24791189142190856
Aberfeldy,fear,1546,18.0,0.012281835811247576,0.01780227637249029,-0.5355355082608692
Aberfeldy,joy,1546,75.0,0.0491273432449903,0.05542922526541431,-0.17412062144002877
Aberfeldy,negative,1546,91.0,0.059469941822882996,0.06256585673196113,-0.07321490393183905
Aberfeldy,positive,1546,193.0,0.12540400775694893,0.13041148269918745,-0.05648744848214628
Aberfeldy,sadness,1546,21.0,0.014221073044602456,0.02120217312007962,-0.5761818146598189
Aberfeldy,surprise,1546,47.0,0.031027795733678087,0.036466587885671795,-0.233014006511072
Aberfeldy,trust,1546,89.0,0.058177117000646414,0.06192397008627474,-0.09004616424574274
Aberlour,anger,14084,284.0,0.02023429179978701,0.01805587484422074,0.16433403204664296
Aberlour,anticipation,14084,883.0,0.0627618033368832,0.054584188292094146,0.201403707803211
Aberlour,disgust,14084,549.0,0.039048633297834576,0.03530989560699559,0.14519949911984328
Aberlour,fear,14084,256.0,0.01824636137735179,0.01780227637249029,0.035547065676165904
Aberlour,joy,14084,902.0,0.06411075612353567,0.05542922526541431,0.2099195807839865
Aberlour,negative,14084,972.0,0.0690805821796237,0.06256585673196113,0.1429046729790022
Aberlour,positive,14084,2005.0,0.14242101526446574,0.13041148269918745,0.12709113812964917
Aberlour,sadness,14084,340.0,0.024210152644657437,0.02120217312007962,0.19140003391379898
Aberlour,surprise,14084,579.0,0.04117855875044373,0.036466587885671795,0.1753181209694486
Aberlour,trust,14084,964.0,0.06851260205892794,0.06192397008627474,0.14587140976676785
Alberta Distillers,anger,2517,55.0,0.022239872915011914,0.01805587484422074,0.30068022059541943
Alberta Distillers,anticipation,2517,113.0,0.04527402700555997,0.054584188292094146,-0.2697994618802022
Alberta Distillers,disgust,2517,98.0,0.03931691818903892,0.03530989560699559,0.15507768633070762
Alberta Distillers,fear,2517,49.0,0.019857029388403495,0.01780227637249029,0.15758808180028927
Alberta Distillers,joy,2517,112.0,0.044876886417791896,0.05542922526541431,-0.30467425873840726
Alberta Distillers,negative,2517,192.0,0.07664813343923749,0.06256585673196113,0.29287509100924747
Alberta Distillers,positive,2517,295.0,0.11755361397934869,0.13041148269918745,-0.1497520113103051
Alberta Distillers,sadness,2517,59.0,0.023828435266084195,0.02120217312007962,0.16847207604142148
Alberta Distillers,surprise,2517,91.0,0.03653693407466243,0.036466587885671795,0.0027803625548036763
Alberta Distillers,trust,2517,142.0,0.05679110405083399,0.06192397008627474,-0.1248330100670091
Allt-A-Bhainne,anger,420,9.0,0.023752969121140142,0.01805587484422074,0.39563953807779817
Allt-A-Bhainne,anticipation,420,22.0,0.05463182897862233,0.054584188292094146,0.0012586246646894138
Allt-A-Bhainne,disgust,420,13.0,0.0332541567695962,0.03530989560699559,-0.08653786703867763
Allt-A-Bhainne,fear,420,12.0,0.030878859857482184,0.01780227637249029,0.794557754819277
Allt-A-Bhainne,joy,420,22.0,0.05463182897862233,0.05542922526541431,-0.02090512044396158
Allt-A-Bhainne,negative,420,28.0,0.0688836104513064,0.06256585673196113,0.13878519352135968
Allt-A-Bhainne,positive,420,56.0,0.13539192399049882,0.13041148269918745,0.05407078187810735
Allt-A-Bhainne,sadness,420,6.0,0.0166270783847981,0.02120217312007962,-0.3506774528568725
Allt-A-Bhainne,surprise,420,17.0,0.04275534441805225,0.036466587885671795,0.22952955259272367
Allt-A-Bhainne,trust,420,25.0,0.06175771971496437,0.06192397008627474,-0.0038784840516858073
Amrut,anger,9572,179.0,0.01880288310874334,0.01805587484422074,0.058485568586038456
Amrut,anticipation,9572,552.0,0.05776663532852815,0.054584188292094146,0.08175336790831131
Amrut,disgust,9572,331.0,0.034680873289459936,0.03530989560699559,-0.025932328683429314
Amrut,fear,9572,175.0,0.018385041261882378,0.01780227637249029,0.046470684381410214
Amrut,joy,9572,603.0,0.06309411887600543,0.05542922526541431,0.18685869189003212
Amrut,negative,9572,559.0,0.05849785856053484,0.06256585673196113,-0.09699175559531782
Amrut,positive,9572,1340.0,0.14008147916013788,0.13041148269918745,0.1031953186837673
Amrut,sadness,9572,201.0,0.02110101326647864,0.02120217312007962,-0.006899863096753834
Amrut,surprise,9572,391.0,0.04094850099237438,0.036466587885671795,0.16723542433154742
Amrut,trust,9572,612.0,0.06403426303144259,0.06192397008627474,0.04834609056393132
Anchor Distilling,anger,767,20.0,0.02734375,0.01805587484422074,0.598742788314436
Anchor Distilling,anticipation,767,36.0,0.048177083333333336,0.054584188292094146,-0.18013604341813366
Anchor Distilling,disgust,767,32.0,0.04296875,0.03530989560699559,0.2832152526074115
Anchor Distilling,fear,767,22.0,0.029947916666666668,0.01780227637249029,0.7503939150804378
Anchor Distilling,joy,767,40.0,0.053385416666666664,0.05542922526541431,-0.05420114953765104
Anchor Distilling,negative,767,59.0,0.078125,0.06256585673196113,0.32040871634754614
Anchor Distilling,positive,767,109.0,0.14322916666666666,0.13041148269918745,0.13525440358326493
Anchor Distilling,sadness,767,19.0,0.026041666666666668,0.02120217312007962,0.2966096423181258
Anchor Distilling,surprise,767,26.0,0.03515625,0.036466587885671795,-0.05279402434088033
Anchor Distilling,trust,767,44.0,0.05859375,0.06192397008627474,-0.0797511835178634
Ancient Age,anger,1072,16.0,0.015843429636533086,0.01805587484422074,-0.18858365324935042
Ancient Age,anticipation,1072,65.0,0.06150978564771668,0.054584188292094146,0.17233285027600403
Ancient Age,disgust,1072,33.0,0.03168685927306617,0.03530989560699559,-0.1561878855360681
Ancient Age,fear,1072,14.0,0.013979496738117428,0.01780227637249029,-0.3487493054034223
Ancient Age,joy,1072,72.0,0.06803355079217148,0.05542922526541431,0.29559954468891686
Ancient Age,negative,1072,100.0,0.09412861136999068,0.06256585673196113,0.5892577434554566
Ancient Age,positive,1072,160.0,0.1500465983224604,0.13041148269918745,0.20233970813785684
Ancient Age,sadness,1072,18.0,0.017707362534948742,0.02120217312007962,-0.2598627991610169
Ancient Age,surprise,1072,53.0,0.05032618825722274,0.036466587885671795,0.464734115623754
Ancient Age,trust,1072,76.0,0.0717614165890028,0.06192397008627474,0.2127104008119976
anCnoc,anger,3575,59.0,0.016778523489932886,0.01805587484422074,-0.10585255931796732
anCnoc,anticipation,3575,195.0,0.05480984340044743,0.054584188292094146,0.0059519146059630115
anCnoc,disgust,3575,112.0,0.031599552572706933,0.03530989560699559,-0.16016842479801577
anCnoc,fear,3575,60.0,0.017058165548098435,0.01780227637249029,-0.06159922387585028
anCnoc,joy,3575,187.0,0.052572706935123045,0.05542922526541431,-0.07633282294025871
anCnoc,negative,3575,227.0,0.06375838926174497,0.06256585673196113,0.027239614441607846
anCnoc,positive,3575,481.0,0.1347874720357942,0.13041148269918745,0.0476155058264055
anCnoc,sadness,3575,69.0,0.019574944071588368,0.02120217312007962,-0.11520395608643179
anCnoc,surprise,3575,143.0,0.040268456375838924,0.036466587885671795,0.14307495447580176
anCnoc,trust,3575,205.0,0.05760626398210291,0.06192397008627474,-0.10427227312648125
Angel's Envy,anger,1038,26.0,0.02598652550529355,0.01805587484422074,0.5252954295160887
Angel's Envy,anticipation,1038,64.0,0.06256015399422522,0.054584188292094146,0.19676096579831548
Angel's Envy,disgust,1038,37.0,0.03657362848893166,0.03530989560699559,0.050731208509487966
Angel's Envy,fear,1038,24.0,0.02406159769008662,0.01780227637249029,0.43467071061509405
Angel's Envy,joy,1038,58.0,0.05678537054860443,0.05542922526541431,0.03487245702305117
Angel's Envy,negative,1038,63.0,0.061597690086621755,0.06256585673196113,-0.022499317444027965
Angel's Envy,positive,1038,136.0,0.13185755534167468,0.13041148269918745,0.01590933483607645
Angel's Envy,sadness,1038,26.0,0.02598652550529355,0.02120217312007962,0.29355161141117625
Angel's Envy,surprise,1038,45.0,0.04427333974975938,0.036466587885671795,0.27986299136960846
Angel's Envy,trust,1038,53.0,0.0519730510105871,0.06192397008627474,-0.2527342158671252
Angels' Nectar,anger,188,3.0,0.021164021164021163,0.01805587484422074,0.2291454420357592
Angels' Nectar,anticipation,188,10.0,0.0582010582010582,0.054584188292094146,0.09256228609029717
Angels' Nectar,disgust,188,4.0,0.026455026455026454,0.03530989560699559,-0.41653069536359605
Angels' Nectar,fear,188,3.0,0.021164021164021163,0.01780227637249029,0.24955203552350846
Angels' Nectar,joy,188,10.0,0.0582010582010582,0.05542922526541431,0.07039854098164593
Angels' Nectar,negative,188,7.0,0.042328042328042326,0.06256585673196113,-0.5637618027608888
Angels' Nectar,positive,188,21.0,0.1164021164021164,0.13041148269918745,-0.16395361480401374
Angels' Nectar,sadness,188,4.0,0.026455026455026454,0.02120217312007962,0.31932971881820904
Angels' Nectar,surprise,188,9.0,0.05291005291005291,0.036466587885671795,0.536966644883097
Angels' Nectar,trust,188,14.0,0.07936507936507936,0.06192397008627474,0.35800639226106384
Antiquary,anticipation,73,3.0,0.05405405405405406,0.054584188292094146,-0.014080273954877154
Antiquary,disgust,73,2.0,0.04054054054054054,0.03530989560699559,0.1992927690623209
Antiquary,fear,73,2.0,0.04054054054054054,0.01780227637249029,1.1873035948367874
Antiquary,joy,73,3.0,0.05405405405405406,0.05542922526541431,-0.03624401906352822
Antiquary,negative,73,3.0,0.05405405405405406,0.06256585673196113,-0.21097274416876596
Antiquary,positive,73,13.0,0.1891891891891892,0.13041148269918745,0.5367587472084161
Antiquary,surprise,73,2.0,0.04054054054054054,0.036466587885671795,0.15279010930901377
Antiquary,trust,73,7.0,0.10810810810810811,0.06192397008627474,0.8039048552446684
Ardbeg,anger,37407,792.0,0.021198674080410606,0.01805587484422074,0.23150570742915408
Ardbeg,anticipation,37407,2030.0,0.054293199315654406,0.054584188292094146,-0.007711598561430761
Ardbeg,disgust,37407,1517.0,0.04057955517536356,0.03530989560699559,0.20068049485392436
Ardbeg,fear,37407,810.0,0.021679854576561162,0.01780227637249029,0.28429334943019774
Ardbeg,joy,37407,2120.0,0.056699101796407185,0.05542922526541431,0.032679037564320085
Ardbeg,negative,37407,2691.0,0.07196321642429426,0.06256585673196113,0.20188410153884445
Ardbeg,positive,37407,4517.0,0.12077630453378957,0.13041148269918745,-0.11073346835881016
Ardbeg,sadness,37407,897.0,0.024005560307955517,0.02120217312007962,0.17915646836140997
Ardbeg,surprise,37407,1401.0,0.03747861420017109,0.036466587885671795,0.039492393695774446
Ardbeg,trust,37407,2201.0,0.05886441402908469,0.06192397008627474,-0.07310224009366918
Ardmore,anger,4058,80.0,0.019955654101995565,0.01805587484422074,0.14432924444376322
Ardmore,anticipation,4058,220.0,0.05444690810544469,0.054584188292094146,-0.0036329736321892014
Ardmore,disgust,4058,147.0,0.03646218280364622,0.03530989560699559,0.04632837490137104
Ardmore,fear,4058,88.0,0.021926582902192657,0.01780227637249029,0.30061926601328554
Ardmore,joy,4058,211.0,0.052229613205222965,0.05542922526541431,-0.08577882356907247
Ardmore,negative,4058,244.0,0.06035969450603597,0.06256585673196113,-0.05179006423493903
Ardmore,positive,4058,475.0,0.11727026361172703,0.13041148269918745,-0.15323367060998808
Ardmore,sadness,4058,97.0,0.02414387780241439,0.02120217312007962,0.1874452675694346
Ardmore,surprise,4058,178.0,0.044099531904409954,0.036466587885671795,0.2741881267833704
Ardmore,trust,4058,258.0,0.06380881990638088,0.06192397008627474,0.043257883862478634
Armorik,anger,1007,17.0,0.017857142857142856,0.01805587484422074,-0.015967055800772276
Armorik,anticipation,1007,56.0,0.05654761904761905,0.054584188292094146,0.050983182338897766
Armorik,disgust,1007,41.0,0.041666666666666664,0.03530989560699559,0.2388211332489581
Armorik,fear,1007,14.0,0.01488095238095238,0.01780227637249029,-0.2585948681468169
Armorik,joy,1007,45.0,0.04563492063492063,0.05542922526541431,-0.2805086208774822
Armorik,negative,1007,51.0,0.051587301587301584,0.06256585673196113,-0.2783595838986405
Armorik,positive,1007,115.0,0.11507936507936507,0.13041148269918745,-0.18044173759258272
Armorik,sadness,1007,17.0,0.017857142857142856,0.02120217312007962,-0.24771087390568472
Armorik,surprise,1007,36.0,0.03670634920634921,0.036466587885671795,0.009454416345840844
Armorik,trust,1007,44.0,0.044642857142857144,0.06192397008627474,-0.47206860629662367
Arran,anger,9758,172.0,0.01772722615022031,0.01805587484422074,-0.026501513868731456
Arran,anticipation,9758,551.0,0.056563172456194286,0.054584188292094146,0.051379940689953774
Arran,disgust,9758,355.0,0.036479147453632545,0.03530989560699559,0.046999457174224046
Arran,fear,9758,155.0,0.015985244389794036,0.01780227637249029,-0.15532092915545856
Arran,joy,9758,539.0,0.05533353827236397,0.05542922526541431,-0.00249266414603554
Arran,negative,9758,536.0,0.05502612972640639,0.06256585673196113,-0.18525870831669172
Arran,positive,9758,1294.0,0.13269802233835434,0.13041148269918745,0.025075965591389953
Arran,sadness,9758,186.0,0.019161799364689005,0.02120217312007962,-0.14597909972273196
Arran,surprise,9758,358.0,0.036786555999590125,0.036466587885671795,0.012603400277570884
Arran,trust,9758,643.0,0.06599036786555999,0.06192397008627474,0.09175749122594686
Auchentoshan,anger,17770,292.0,0.0164875358730516,0.01805587484422074,-0.13109252506807234
Auchentoshan,anticipation,17770,1074.0,0.06049181250351696,0.054584188292094146,0.14825679040374307
Auchentoshan,disgust,17770,618.0,0.03483202971132744,0.03530989560699559,-0.019658012562773206
Auchentoshan,fear,17770,262.0,0.01479939226830229,0.01780227637249029,-0.2665237967102688
Auchentoshan,joy,17770,1156.0,0.06510607168983175,0.05542922526541431,0.23214524992575933
Auchentoshan,negative,17770,947.0,0.05334533791007822,0.06256585673196113,-0.2300133753887091
Auchentoshan,positive,17770,2462.0,0.13859658994991841,0.13041148269918745,0.08782085753157065
Auchentoshan,sadness,17770,330.0,0.018625851105734063,0.02120217312007962,-0.18690579078801492
Auchentoshan,surprise,17770,760.0,0.042822576107140846,0.036466587885671795,0.23179637197320063
Auchentoshan,trust,17770,1269.0,0.07146474593438748,0.06192397008627474,0.20673375678599398
Auchroisk,anger,720,13.0,0.019417475728155338,0.01805587484422074,0.1048873390736133
Auchroisk,anticipation,720,37.0,0.052704576976421634,0.054584188292094146,-0.05055484412316441
Auchroisk,disgust,720,24.0,0.03467406380027739,0.03530989560699559,-0.02621562549598356
Auchroisk,fear,720,10.0,0.015256588072122053,0.01780227637249029,-0.2226293708589441
Auchroisk,joy,720,36.0,0.05131761442441054,0.05542922526541431,-0.1111927370464513
Auchroisk,negative,720,43.0,0.06102635228848821,0.06256585673196113,-0.035943209143341356
Auchroisk,positive,720,82.0,0.11511789181692095,0.13041148269918745,-0.179958827114136
Auchroisk,sadness,720,14.0,0.020804438280166437,0.02120217312007962,-0.027320805480384396
Auchroisk,surprise,720,14.0,0.020804438280166437,0.036466587885671795,-0.8096838794154965
Auchroisk,trust,720,42.0,0.059639389736477116,0.06192397008627474,-0.054232473665106355
